ItemCode,Name,EngName,Cat,Type,Overall,Core,BoJCore,WesternCore,CPIExImpRents,CPIExImpRents&FF,GoodsExFFE,GenSerExRents,Ser,Foods,Alcohol,ImpRents,Energy,FreshFoods,in2020,in2015,in2010,in2005r,in2005,Name20,Cat20,weight20,Name15,Cat15,weight15,Name10,Cat10,weight10,Name05r,Cat05r,weight05r,Name05,Cat05,weight05,yoy_std,yoy_std_cat,freq_of_adj,UedaCat,Chg_in_months,freq_cat
1001,うるち米Ａ,Non-glutinous rice-A,2,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,うるち米Ａ,2,23,うるち米Ａ,2,25,国産米Ａ,2,30,国産米Ａ,2,26,国産米Ａ,2,26,8.56123101,High,23.8,Other agricultural/aquatic/livestock products,4.19,Mid
1002,うるち米Ｂ,Non-glutinous rice-B,2,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,うるち米Ｂ,2,39,うるち米Ｂ,2,34,国産米Ｂ,2,42,国産米Ｂ,2,38,国産米Ｂ,2,38,8.375677916,High,25.6,Other agricultural/aquatic/livestock products,3.90,High
1003,ブレンド米,#N/A,2,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,ブレンド米,2,18,ブレンド米,2,18,4.535628432,High,24.4,Other agricultural/aquatic/livestock products,4.10,High
1011,もち米,#N/A,2,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,,,,もち米,2,3,もち米,2,4,もち米,2,3,もち米,2,3,13.6731444,High,15.3,Other agricultural/aquatic/livestock products,6.52,Mid
1021,食パン,White bread,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,食パン,3,32,食パン,3,30,食パン,3,23,食パン,4,37,食パン,4,37,3.954047448,High,62.1,Food products,1.61,High
1022,あんパン,Bean-jam buns,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,あんパン,3,35,あんパン,3,30,あんパン,3,28,あんパン,4,15,あんパン,4,15,4.170292431,High,38.6,Food products,2.59,High
1023,カレーパン,Curry buns,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,カレーパン,3,18,カレーパン,3,24,カレーパン,3,28,カレーパン,4,22,カレーパン,4,22,4.366784971,High,42.5,Food products,2.35,High
1031,ゆでうどん,Boiled “Udon”,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,ゆでうどん,3,10,ゆでうどん,3,10,ゆでうどん,3,10,ゆでうどん,4,10,ゆでうどん,4,10,4.376001332,High,8.1,Food products,12.31,Mid
1041,そうめん,"“Somen”, fine wheat noodles",3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,そうめん,3,6,干しうどん,3,7,干しうどん,3,8,干しうどん,4,8,干しうどん,4,8,3.752211652,Mid,12.2,Food products,8.21,Mid
1042,スパゲッティ,Spaghetti,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,スパゲッティ,3,4,スパゲッティ,3,3,スパゲッティ,3,4,スパゲッティ,3,3,スパゲッティ,3,3,6.409493128,High,23.0,Food products,4.35,Mid
1051,カップ麺,Instant noodles in cups,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,カップ麺,3,20,カップ麺,3,16,即席めん,3,15,即席めん,3,14,即席めん,3,14,5.153620842,High,24.9,Food products,4.01,High
1052,中華麺,Chinese noodles,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,中華麺,3,12,中華麺,3,11,生中華めん,3,12,生中華めん,4,11,生中華めん,4,11,3.460331698,Mid,24.4,Food products,4.11,Mid
1071,小麦粉,Wheat flour,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,小麦粉,3,3,小麦粉,3,4,小麦粉,3,4,小麦粉,3,3,小麦粉,3,3,4.838347941,High,21.4,Food products,4.67,Mid
1081,もち,"“Mochi”, rice-cakes",3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,もち,3,7,もち,3,11,もち,3,9,もち,3,10,もち,3,10,3.959030461,High,18.4,Food products,5.43,Mid
1090,シリアル,Cereal,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,シリアル,3,5,,,,,,,,,,,,,4.947126253,High,23.0,Food products,4.35,Mid
1101,まぐろ,Tuna fish,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,まぐろ,1,22,まぐろ,1,23,まぐろ,1,22,まぐろ,1,28,まぐろ,1,28,5.099768207,High,77.2,Fresh food,1.30,High
1102,あじ,Horse mackerel,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,あじ,1,4,あじ,1,6,あじ,1,6,あじ,1,7,あじ,1,7,9.25204642,High,98.4,Fresh food,1.02,High
1103,いわし,Sardines,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,いわし,1,2,いわし,1,3,いわし,1,3,いわし,1,3,いわし,1,3,9.55594486,High,96.6,Fresh food,1.04,High
1104,かつお,Bonito,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,かつお,1,6,かつお,1,7,かつお,1,6,かつお,1,8,かつお,1,8,11.1670836,High,65.8,Fresh food,1.52,High
1105,かれい,#N/A,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,,,,,,,かれい,1,6,かれい,1,7,かれい,1,7,4.807461254,High,65.8,Fresh food,1.52,High
1106,さけ,Salmon,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,さけ,1,21,さけ,1,19,さけ,1,16,さけ,1,16,さけ,1,16,7.4479263,High,52.2,Fresh food,1.91,High
1107,さば,Mackerel,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,さば,1,4,さば,1,5,さば,1,5,さば,1,5,さば,1,5,10.00505779,High,97.7,Fresh food,1.02,High
1108,さんま,Saury,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,さんま,1,3,さんま,1,5,さんま,1,5,さんま,1,6,さんま,1,6,18.76223834,High,98.4,Fresh food,1.02,High
1110,たい,Sea bream,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,たい,1,4,たい,1,5,たい,1,5,たい,1,6,たい,1,6,5.057949643,High,77.6,Fresh food,1.29,High
1111,ぶり,Yellowtail,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,ぶり,1,12,ぶり,1,14,ぶり,1,13,ぶり,1,14,ぶり,1,14,6.782178623,High,86.4,Fresh food,1.16,High
1112,いか,Cuttlefish,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,いか,1,7,いか,1,9,いか,1,10,いか,1,13,いか,1,13,10.87136737,High,98.3,Fresh food,1.02,High
1113,たこ,Octopus,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,たこ,1,5,たこ,1,5,たこ,1,5,たこ,1,6,たこ,1,6,10.09926781,High,45.4,Fresh food,2.20,High
1114,えび,Prawns,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,えび,1,12,えび,1,13,えび,1,14,えび,1,16,えび,1,16,5.970958807,High,81.1,Fresh food,1.23,High
1131,あさり,Short-necked clams,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,あさり,1,3,あさり,1,4,あさり,1,5,あさり,1,5,あさり,1,5,5.395680063,High,38.9,Fresh food,2.57,High
1132,かき（貝）,Oysters,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,かき（貝）,1,2,かき（貝）,1,3,かき（貝）,1,3,かき（貝）,1,4,かき（貝）,1,4,6.811690719,High,70.5,Fresh food,1.42,High
1133,ほたて貝,Scallops,1,Goods,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,ほたて貝,1,3,ほたて貝,1,3,ほたて貝,1,4,ほたて貝,1,4,ほたて貝,1,4,7.257712284,High,52.6,Fresh food,1.90,High
1141,塩さけ,Salted salmon,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,塩さけ,3,10,塩さけ,3,11,塩さけ,3,9,塩さけ,4,10,塩さけ,4,10,6.616623439,High,58.8,Food products,1.70,High
1142,たらこ,Salted cod roe,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,たらこ,3,9,たらこ,3,11,たらこ,3,12,たらこ,4,15,たらこ,4,15,4.546842839,High,19.9,Food products,5.03,Mid
1143,しらす干し,"“Shirasu-boshi”, dried young sardines",3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,しらす干し,3,7,しらす干し,3,7,しらす干し,3,6,しらす干し,4,7,しらす干し,4,7,7.829725804,High,24.0,Food products,4.17,Mid
1144,干しあじ,Dried horse mackerel,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,干しあじ,3,3,干しあじ,3,4,干しあじ,3,5,干しあじ,4,6,干しあじ,4,6,5.199801466,High,74.1,Food products,1.35,High
1145,丸干しいわし,#N/A,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,丸干しいわし,4,2,丸干しいわし,4,2,5.228047792,High,23.0,Food products,4.35,Mid
1146,煮干し,"“Niboshi”, dried small sardines",3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,煮干し,3,2,煮干し,3,2,煮干し,3,2,煮干し,4,3,煮干し,4,3,5.65228355,High,9.9,Food products,10.05,Mid
1150,ししゃも,Capelin,3,Goods,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,ししゃも,3,2,ししゃも,3,2,ししゃも,3,2,ししゃも,4,4,ししゃも,4,4,5.530889369,High,59.8,Food products,1.67,High
