Date,Name,adj
1989/4/1,うるち米Ａ,-3
1989/5/1,うるち米Ａ,-3
1989/6/1,うるち米Ａ,-3
1989/7/1,うるち米Ａ,-3
1989/8/1,うるち米Ａ,-3
1989/9/1,うるち米Ａ,-3
1989/10/1,うるち米Ａ,-3
1989/11/1,うるち米Ａ,-3
1989/12/1,うるち米Ａ,-3
1990/1/1,うるち米Ａ,-3
1990/2/1,うるち米Ａ,-3
1990/3/1,うるち米Ａ,-3
1997/4/1,うるち米Ａ,-2
1997/5/1,うるち米Ａ,-2
1997/6/1,うるち米Ａ,-2
1997/7/1,うるち米Ａ,-2
1997/8/1,うるち米Ａ,-2
1997/9/1,うるち米Ａ,-2
1997/10/1,うるち米Ａ,-2
1997/11/1,うるち米Ａ,-2
1997/12/1,うるち米Ａ,-2
1998/1/1,うるち米Ａ,-2
1998/2/1,うるち米Ａ,-2
1998/3/1,うるち米Ａ,-2
2014/4/1,うるち米Ａ,-3
2014/5/1,うるち米Ａ,-3
2014/6/1,うるち米Ａ,-3
2014/7/1,うるち米Ａ,-3
2014/8/1,うるち米Ａ,-3
2014/9/1,うるち米Ａ,-3
2014/10/1,うるち米Ａ,-3
2014/11/1,うるち米Ａ,-3
2014/12/1,うるち米Ａ,-3
2015/1/1,うるち米Ａ,-3
2015/2/1,うるち米Ａ,-3
2015/3/1,うるち米Ａ,-3
1989/4/1,うるち米Ｂ,-3
1989/5/1,うるち米Ｂ,-3
1989/6/1,うるち米Ｂ,-3
1989/7/1,うるち米Ｂ,-3
1989/8/1,うるち米Ｂ,-3
1989/9/1,うるち米Ｂ,-3
1989/10/1,うるち米Ｂ,-3
1989/11/1,うるち米Ｂ,-3
1989/12/1,うるち米Ｂ,-3
1990/1/1,うるち米Ｂ,-3
1990/2/1,うるち米Ｂ,-3
1990/3/1,うるち米Ｂ,-3
1997/4/1,うるち米Ｂ,-2
1997/5/1,うるち米Ｂ,-2
1997/6/1,うるち米Ｂ,-2
1997/7/1,うるち米Ｂ,-2
1997/8/1,うるち米Ｂ,-2
1997/9/1,うるち米Ｂ,-2
1997/10/1,うるち米Ｂ,-2
1997/11/1,うるち米Ｂ,-2
1997/12/1,うるち米Ｂ,-2
1998/1/1,うるち米Ｂ,-2
1998/2/1,うるち米Ｂ,-2
1998/3/1,うるち米Ｂ,-2
2014/4/1,うるち米Ｂ,-3
2014/5/1,うるち米Ｂ,-3
2014/6/1,うるち米Ｂ,-3
2014/7/1,うるち米Ｂ,-3
2014/8/1,うるち米Ｂ,-3
2014/9/1,うるち米Ｂ,-3
2014/10/1,うるち米Ｂ,-3
2014/11/1,うるち米Ｂ,-3
2014/12/1,うるち米Ｂ,-3
2015/1/1,うるち米Ｂ,-3
2015/2/1,うるち米Ｂ,-3
2015/3/1,うるち米Ｂ,-3
1989/4/1,ブレンド米,-3
1989/5/1,ブレンド米,-3
1989/6/1,ブレンド米,-3
1989/7/1,ブレンド米,-3
1989/8/1,ブレンド米,-3
1989/9/1,ブレンド米,-3
1989/10/1,ブレンド米,-3
1989/11/1,ブレンド米,-3
1989/12/1,ブレンド米,-3
1990/1/1,ブレンド米,-3
1990/2/1,ブレンド米,-3
1990/3/1,ブレンド米,-3
1997/4/1,ブレンド米,-2
1997/5/1,ブレンド米,-2
1997/6/1,ブレンド米,-2
1997/7/1,ブレンド米,-2
1997/8/1,ブレンド米,-2
1997/9/1,ブレンド米,-2
1997/10/1,ブレンド米,-2
1997/11/1,ブレンド米,-2
1997/12/1,ブレンド米,-2
1998/1/1,ブレンド米,-2
1998/2/1,ブレンド米,-2
1998/3/1,ブレンド米,-2
2014/4/1,ブレンド米,-3
2014/5/1,ブレンド米,-3
2014/6/1,ブレンド米,-3
2014/7/1,ブレンド米,-3
2014/8/1,ブレンド米,-3
2014/9/1,ブレンド米,-3
2014/10/1,ブレンド米,-3
2014/11/1,ブレンド米,-3
2014/12/1,ブレンド米,-3
2015/1/1,ブレンド米,-3
2015/2/1,ブレンド米,-3
2015/3/1,ブレンド米,-3
1989/4/1,もち米,-3
1989/5/1,もち米,-3
1989/6/1,もち米,-3
1989/7/1,もち米,-3
1989/8/1,もち米,-3
1989/9/1,もち米,-3
1989/10/1,もち米,-3
1989/11/1,もち米,-3
1989/12/1,もち米,-3
1990/1/1,もち米,-3
1990/2/1,もち米,-3
1990/3/1,もち米,-3
1997/4/1,もち米,-2
1997/5/1,もち米,-2
1997/6/1,もち米,-2
1997/7/1,もち米,-2
1997/8/1,もち米,-2
1997/9/1,もち米,-2
1997/10/1,もち米,-2
1997/11/1,もち米,-2
1997/12/1,もち米,-2
1998/1/1,もち米,-2
1998/2/1,もち米,-2
1998/3/1,もち米,-2
2014/4/1,もち米,-3
2014/5/1,もち米,-3
2014/6/1,もち米,-3
2014/7/1,もち米,-3
2014/8/1,もち米,-3
2014/9/1,もち米,-3
2014/10/1,もち米,-3
2014/11/1,もち米,-3
2014/12/1,もち米,-3
2015/1/1,もち米,-3
2015/2/1,もち米,-3
2015/3/1,もち米,-3
1989/4/1,食パン,-3
1989/5/1,食パン,-3
1989/6/1,食パン,-3
1989/7/1,食パン,-3
1989/8/1,食パン,-3
